"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Engineers' Perspectives on the Use of Generative Artificial Intelligence Tools in the Workplace","J. Joskowicz; D. Slomovitz","Faculty of Engineering, University of the Republic, Montevideo, Uruguay; Faculty of Engineering, University of the Republic, Montevideo, Uruguay",IEEE Engineering Management Review,"18 Apr 2024","2024","52","1","258","267","The integration of artificial intelligence (AI) into the workplace requires commitment not only from the leadership of company directors but, equally important, from the engineers responsible for its implementation. This article presents a survey on perceptions concerning the utilization of AI tools in engineering environments. It was focused on engineers and students in the areas of electricity, electronics, and computing. The questionnaire covered demographic information, AI knowledge level, preferred tools, primary applications, perceived impact, and attitudes toward labor substitution. With the endorsement of the IEEE Uruguay Section and IEEE Region 9, the survey was distributed via email to a diverse group of potential participants, in several countries, including all IEEE members in Region 9. There were 375 replies to the survey, from 20 different countries in the Americas.","1937-4178","","10.1109/EMR.2023.3333794","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10319661","AI tools;artificial intelligence (AI);future impact;generative;IEEE member","Artificial intelligence;Surveys;Employment;Chatbots;Companies;Technological innovation;IEEE Regions","","3","","20","IEEE","16 Nov 2023","","","IEEE","IEEE Journals"
"Application of Generative Artificial Intelligence Technology in Customized Learning Path Design: A New Strategy for Higher Education","Y. Li; W. Ji; J. Liu; W. Li","Entrepreneurship College, Guangdong University of Science and Technology Innovation, Dongguan, China; Guangdong University of Science and Technology Building, China; School of Creative Design, Dongguan City College, Dongguan, China; College Class 4 Network 23, Guangdong University of Science and Technology Computer, Dongguan, China",2024 International Conference on Interactive Intelligent Systems and Techniques (IIST),"4 Nov 2024","2024","","","567","573","In today's rapidly evolving education field, generative artificial intelligence (AI) technology is increasingly becoming a key force in promoting teaching innovation and personalized learning solutions. This article deeply explores the application of generative AI technology in designing customized learning paths in higher education and its profound impact on educational practice. Through specific case analysis, this study reveals how generative AI can effectively analyze students' learning behaviors, preferences, and performance to automatically generate and adjust learning paths in real time, thereby providing students with a highly personalized learning experience. Research results show that using generative AI technology can significantly improve learning efficiency, increase student engagement and satisfaction, and optimize learning outcomes. In addition, this article also demonstrates the ability of generative AI to promote innovation in learning content and teaching methods, improve the efficiency of educational resource utilization, and enhance the adaptability of learning paths. Through these findings, this paper provides valuable insights for higher education institutions, pointing out the importance and feasibility of leveraging generative AI technologies to design personalized learning paths, while highlighting key considerations that should be noted during implementation.","","979-8-3503-7442-1","10.1109/IIST62526.2024.00099","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10734572","generative artificial intelligence;customized learning path;higher education innovation;learning experience optimization","Technological innovation;Generative AI;Education;Force;Learning (artificial intelligence);Real-time systems;Resource management;History;Intelligent systems;Optimization","","","","19","IEEE","4 Nov 2024","","","IEEE","IEEE Conferences"
"Generative Artificial Intelligence Impact on Education and Industry: An Ethical Dimension","J. R. M. Montezuma; M. Chong","School of Engineering, Corporación Universitaria Comfacauca, Popayán, Colombia; Facultad de Ingeniería, Universidad del Pacífico, Lima, Perú",2024 IEEE World Engineering Education Conference (EDUNINE),"24 Apr 2024","2024","","","1","3","This research stresses the importance of ethics in addressing ethical challenges and serving as a crucial guide in industry and education. It is recommended that organizations integrate ethical principles into their guiding documents and encourage ethical reflection among students. Ethics plays a crucial role in the generative artificial intelligence (GAI) responsible application for the benefit of society. The ethics use is essential in weighing up GAI's strengths and weaknesses.","","979-8-3503-4872-9","10.1109/EDUNINE60625.2024.10500608","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10500608","Generative Artificial Intelligence;Ethics in Technology;Educational Innovation;Industrial Automation;Ethical Challenges","Industries;Training;Ethics;Technological innovation;Generative AI;Education;Collaboration","","1","","20","IEEE","24 Apr 2024","","","IEEE","IEEE Conferences"
"The Impact of Generative Artificial Intelligence on Organizational Innovation Performance: Roles of AI Generated Content Quality, AI Experience, and AI Usage Environment","H. Xu; R. Xu; H. Lin; X. He","Nanfang college, Guangzhou Business School, Guangzhou, China; North University of China, School of Economics and Management, Taiyuan, China; North University of China, School of Economics and Management, Taiyuan, China; North University of China, School of Economics and Management, Taiyuan, China",2024 ASU International Conference in Emerging Technologies for Sustainability and Intelligent Systems (ICETSIS),"19 Mar 2024","2024","","","1802","1807","With the progress of artificial intelligence (AI), generative AI has emerged as a novel catalyst for driving innovation within enterprises. This study, rooted in behavior activation theory, endeavors to examine the impact of generative AI on enterprise innovation. A conceptual model is formulated to elucidate the relationship between generative AI and enterprise innovation. Utilizing structural equation modeling to scrutinize this model, the findings reveal substantial positive effects: AI generated content quality significantly influences the activation of enterprise innovation behavior (ß = 0.37, t-value = 7.64, p < 0.01), AI experience has a notable positive impact on innovation behavior activation (ß = 0.19, t-value = 3.47, p < 0.01), and a supportive AI usage environment significantly influences the activation of enterprise innovation behavior (ß= 0.46, t-value = 10.48, p <0.01). Furthermore, innovation behavior activation makes a significant contribution to enterprise innovation performance (ß = 0.65, t-value = 18.23, p < 0.01).","","979-8-3503-7222-9","10.1109/ICETSIS61505.2024.10459661","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10459661","Generative artificial intelligence;AI generated content quality;AI experience;AI usage environment","Technological innovation;Generative AI;Catalysts;Mathematical models;Behavioral sciences;Artificial intelligence;Sustainable development","","","","31","IEEE","19 Mar 2024","","","IEEE","IEEE Conferences"
"Analysis of the Impact of Artificial Intelligence on Electricity Consumption","Y. Jia","State Grid Energy Research Institute Co., Ltd, Beijing, China","2024 3rd International Conference on Artificial Intelligence, Internet of Things and Cloud Computing Technology (AIoTC)","13 Nov 2024","2024","","","57","60","The in-depth development and widespread application of artificial intelligence technology will have significant impact on electricity demand. However, there are few comprehensive analyses. This article will analyze the direct and indirect impact respectively. For direct impact, artificial intelligence requires various data centers to provide huge computing and storage capabilities, which will increase the electricity demand of data centers; for indirect impact, artificial intelligence will also optimize the time and space distribution of electricity demand and deepen energy conservation and power saving in the whole society. Research shows that the development of artificial intelligence will increase the electricity consumption of data centers, and it is necessary to plan ahead for the infrastructure related to the electricity consumption of artificial intelligence; artificial intelligence plays an important role in promoting the development of demand response, and a largescale joint dispatch mechanism of electricity and computing power for the power market should be explored; data centers have a large space for energy conservation and carbon reduction, and a sound electricity price mechanism that comprehensively considers green electricity consumption and energy efficiency should be established to promote data centers to widely participate in green electricity transactions and actively reduce their own PUE.","","979-8-3315-3028-0","10.1109/AIoTC63215.2024.10748289","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10748289","artificial intelligence;electricity demand;demand response;energy efficiency","Data centers;Electricity;Computational modeling;Energy conservation;Demand response;Power markets;Energy efficiency;Artificial intelligence;Carbon;Uninterruptible power systems","","","","12","IEEE","13 Nov 2024","","","IEEE","IEEE Conferences"
"Generative Artificial Intelligence in Teaching and Learning of ICT Engineering Education: A Literature Review and Illustrative Scenarios","P. Santos; K. Urgel; V. Moreno","Department of Information and Communication Technologies, Universitat Pompeu Fabra, Barcelona, Spain; Department of Information and Communication Technologies, Universitat Pompeu Fabra, Barcelona, Spain; Department of Information and Communication Technologies, Universitat Pompeu Fabra, Barcelona, Spain",2024 47th MIPRO ICT and Electronics Convention (MIPRO),"28 Jun 2024","2024","","","1338","1343","This paper presents a comprehensive literature review on the integration of Generative Artificial Intelligence (Gen AI) in the teaching and learning processes within Information and Communication Technologies (ICT) engineering education. The study delves into the potential of Gen AI technologies to enhance educational practices in engineering contexts. Through synthesizing existing literature, this review analyzes the impact of Gen AI on pedagogical strategies, curriculum development, and student engagement in the realm of ICT engineering education. The paper presents authentic teaching cases, including applications and experiments with students, from various studies conducted at higher education institutions worldwide. The illustrative scenarios primarily focus on showcasing the practical applications of Gen AI in two key areas: programming skills and ethics within ICT engineering education. The exploration of these cases provides valuable insights and discussion into the effective implementation of Gen AI in higher education, recognizing the importance of integrating the learning of these technologies into the curriculum. This research provides a valuable resource for ICT engineering educators, researchers, and policymakers aiming to harness AI technologies for transformative progress in engineering education.","2623-8764","979-8-3503-8250-1","10.1109/MIPRO60963.2024.10569779","Universitat Pompeu Fabra; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10569779","Generative Artificial Intelligence;Engineering education;programming;tools;ethics","Generative AI;Reviews;Bibliographies;Soft sensors;Training data;Learning (artificial intelligence);Information and communication technology","","1","","27","IEEE","28 Jun 2024","","","IEEE","IEEE Conferences"
"The Impact and Response of Artificial Intelligence on the Theory of Enterprise Management","C. Li","Jiangxi Vocational and Technical College of Information Application (Digital Technology College), Gongqingcheng, China",2022 3rd International Conference on Electronic Communication and Artificial Intelligence (IWECAI),"11 Apr 2022","2022","","","314","317","In this era of rapid information technology, the development of artificial intelligence affects people's lives and all walks of life, while promoting the improvement of productivity. With the deepening of artificial intelligence technology, the impact on enterprise management theory and practice began to highlight, therefore, enterprise management and decision makers need to correct understanding of artificial intelligence, rationalize the use of decentralized management structure, conform to the trend of the times management thinking, to ensure that artificial intelligence can promote the improvement of enterprise efficiency. This paper studies the influence and impact of artificial intelligence on enterprise management theory, and puts forward practical countermeasures in combination with some problems faced.","","978-1-6654-7997-4","10.1109/IWECAI55315.2022.00067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9750695","Artificial intelligence;Enterprise management;impact and response","Productivity;Weapons;Market research;Artificial intelligence;Information technology","","","","14","IEEE","11 Apr 2022","","","IEEE","IEEE Conferences"
"AI at Your Service: Generative Artificial Intelligence and the Next Generation of Assistants","S. Chaudhary","Independent Researcher, Redwood City, CA, USA",2024 Artificial Intelligence for Business (AIxB),"3 Dec 2024","2024","","","51","52","The advent of generative artificial intelligence has opened new possibilities for numerous fields. This paper examines the impact of large-scale generative AI models on both virtual and robot assistants. As these models evolve, there is significant potential to enhance the capabilities of virtual assistants and enable the development of general-purpose robots capable of performing everyday tasks like making coffee. These models can also scale to assist with industrial manufacturing. While general-purpose assistants are yet to be fully developed and circulated, recent advancements in generative AI have greatly accelerated the progress toward this goal. The paper concludes that the integration of large-scale generative AI models into assistive technologies will likely lead to a new generation of AI-powered helpers.","","979-8-3503-9103-9","10.1109/AIxB62249.2024.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10771226","Generative Artificial Intelligence;Large Language Models;Large Action Models;Virtual Assistants;General Purpose Robots","Human computer interaction;Privacy;Generative AI;Service robots;Virtual assistants;Large language models;Assistive technologies;Robot sensing systems;Manufacturing;Next generation networking","","","","18","IEEE","3 Dec 2024","","","IEEE","IEEE Conferences"
"Research on the Impact of Artificial Intelligence and Internationalization on Sustainable Development of Enterprises","L. Li","Henan University School of Business, Henan, China",2024 7th International Conference on Artificial Intelligence and Big Data (ICAIBD),"30 Jul 2024","2024","","","538","542","The rapid development of information technologies such as the Internet of Things, big data, and artificial intelligence provides good opportunities for digital transformation of enterprises, especially the use of artificial intelligence plays an important role in improving enterprise performance; At the same time, the country also vigorously advocates opening up to the outside world and encourages enterprises to “go out” and “bring in”. Based on this, this article is based on the data of A-share listed companies in Shanghai and Shenzhen from 2009 to 2016, and uses Python technology to construct artificial intelligence measurement indicators. It studies the impact of internationalization and digitization on the green innovation performance and operational performance of enterprises, and explores the impact of artificial intelligence on enterprise performance from both theoretical and empirical perspectives. Research has found that the use of artificial intelligence and international procurement significantly improve the green innovation performance of enterprises, promote their sustainable development, and at the same time, international procurement also improves the operational performance of enterprises. Further heterogeneity testing of the article also found that compared to state-owned enterprises, artificial intelligence technology has a greater positive impact on the sustainable development performance of non-state-owned enterprises.","2769-3554","979-8-3503-8510-6","10.1109/ICAIBD62003.2024.10604496","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10604496","International Procurement;Digitization;Artificial Intelligence Technology;Sustainable Development","Procurement;Technological innovation;Digital transformation;Companies;Big Data;Internet of Things;Artificial intelligence","","","","17","IEEE","30 Jul 2024","","","IEEE","IEEE Conferences"
"The Application and Impact of Artificial Intelligence Technology in International Trade","L. Wu","Chongqing Vocational Institute of Engineering, Chongqing","2023 6th International Conference on Computer Network, Electronic and Automation (ICCNEA)","24 Oct 2023","2023","","","228","232","The rapid development of artificial intelligence technology is having a major impact on the global economy, and its application is also subtly changing the way of global international trade. Digital technologies will have a profound impact on global economic trade, estimated to increase global trade by about 2% per year until 2030.While accelerating the process of a new round of industrial revolution, artificial intelligence will trigger the return of manufacturing, and then have an important impact on the world trade pattern industry, has become a hot issue worthy of attention at present. Think globally, Based on the analysis of panel data in China and some OECD countries, it is found that artificial intelligence has a significant positive impact on import and export trade. By studying the impact of the development of artificial intelligence on international trade, and putting forward effective suggestions for it, we can guide the development of China's international trade work.","2770-7695","979-8-3503-0538-8","10.1109/ICCNEA60107.2023.00056","Chongqing Municipal Education Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10288970","Artificial Intelligence Technology;International Trade;Trade Facilitation;Application and Impact","Industries;International trade;Automation;Market research;Computer networks;Manufacturing;Artificial intelligence","","1","","7","IEEE","24 Oct 2023","","","IEEE","IEEE Conferences"
