Autores,Título,Fonte,Ano,Palavras-chave,Resumo,base
serova e,artificial intelligence strategies and their impact on economic stability: conceptual framework,proceedings of the 3rd european conference on the impact of artificial intelligence and robotics (eciair 2021),2021,artificial intelligence; machine learning; emerging market multinational enterprises; artificial intelligence strategy; artificial intelligence policy; multinational enterprises artificial strategies framework,"Understanding the exceptional role of intelligent technologies and systems in the new digital economy has given rise to a new technological race - artificial intelligence. In emerging markets, artificial intelligence and intelligent technologies are, in fact, an integral part of cutting-edge management systems. They add to the globalization of business by providing quick access to employees, customers, and partners worldwide, as well as coordinating global interaction between companies at different stages of the value chain. It does not mean that intelligent technologies and systems simply increase the efficiency of a company's operations; they can be considered as a key intangible asset. The AI strategy is defined as a set of coordinated policies that have a clear objective of maximizing the potential benefits and minimizing the potential costs of AI for the economy and society. In the past few years, two dozen countries have launched their national strategies in the field of artificial intelligence. Many countries have already developed their AI strategy at the official level during the last 3 years. The main goal of this paper is the analysis of the emerging market multinational enterprises (EMNEs) AI strategies to support the emergent economy and identify key AI strategies development directions. The research is based on the analysis of large volumes of information, the author's own experience, and literature review that includes the latest findings in this field. Research Methodology includes a systematic approach, comparative analysis, case-study, and modeling. The problem the author considers here is: How can we reduce the impact of risks and uncertainty on the economic stability with the help of AI and how the emerging market multinational enterprises (EMNEs)' AI Strategies have already been successfully using the AI Strategies in the past fifteen years? The findings of the research are based on providing a framework for assessing the role of EMNEs' AI strategy and Machine Learning model for EMNE's strategy selection.",wos
polunina o,is artificial intelligence disruptive?,proceedings of the european conference on the impact of artificial intelligence and robotics (eciair 2019),2019,artificial intelligence; Fourth Industrial Revolution; information and psychological security; ICT; malicious use of artificial intelligence,"The paper aims to analyze the risks and hazards of information and psychological security within the framework of the development of artificial intelligence as one of the possible causes of controlled chaos in the modern world. Even today, the social and political basis of many managerial methods are being changed from the point of view of their architecture because of information and communication technologies. In general global information data bases, intellectual analytical systems and information technologies force specialists to deal with absolutely new kinds of decision making and prognostics either in social or political management. The genesis of the main areas of problem management and prognostics is connected as a rule with strict time limits and available media solutions. The paper also considers the problem of the nonstructural nature of modern data and the way that creates an additional challenge for the functioning of various systems. Data hygiene and a new philosophy of data structure are important elements of future advances and far-sighted strategies for most organisations. Big possibilities create big problems. One of them is inequality, but not in the economic sense, but in terms of inequality in the access to information data, to control information data. It actually means that the advantages of the digital revolution, the Fourth Industrial revolution and artificial intelligence development are going to concentrate in the hands of an extremely small percentage of the population. This is dangerous for social and political stability. Under such conditions, the main way to maintain some balance is mutual development, co-operation and dialogue at least in the scientific sphere.",wos
kshetri n,the environmental impact of artificial intelligence,it professional,2024,Training; Costs; Energy efficiency; Artificial intelligence; Water resources,"This article examines the significant energy and water resources required for the training and utilization of artificial intelligence (AI) systems, which consequently result in substantial social costs. Additionally, it explores AI's contributions to enhancing energy efficiency.",wos
mohamed y;khanan ;bashir ;mohamed ahh;adiel ma;elsadig ma,"the impact of artificial intelligence on language translation: a review (vol 12, pg 25553, 2024)",ieee access,2024,Reviews; Artificial intelligence,"Presents corrections to the paper, The Impact of Artificial Intelligence on Language Translation: A Review.",wos
wang j;tian h;zheng ph,the impact of artificial intelligence on corporate environmental investment,ieee transactions on engineering management,2025,Artificial intelligence; Investment; Protection; Companies; Pollution; Economics; Regulation; Pollution measurement; Finance; Green products; environmental investment; financing constraints; information transparency,"As an important driving force for a new round of scientific and technological revolution and industrial transformation, artificial intelligence has great potential in improving corporate investment in environmental protection and promoting economic growth. However, due to data bottlenecks, there is no clear conclusion on how AI impact environmental investment at the enterprise level. Based on the annual report data of Chinese listed companies, we use machine learning methods to generate an artificial intelligence dictionary, and then constructs enterprise-level artificial intelligence indicators. Through empirical research, we find that AI can significantly improve enterprises' environmental investment. After the robustness tests such as the instrumental variable method and the propensity score matching method, the conclusion remains unchanged. Mechanism analysis shows that AI can improve firms' investment in environmental protection by alleviating financing constraints and improving information transparency. Heterogeneity analysis shows that the state-owned attributes, high tax burden and high environmental regulation of enterprises can enhance the correlation between AI and environmental protection investment. Further research finds that the increase in environmental protection investment caused by artificial intelligence can significantly reduce environmental pollution, rather than for the sake of greenwashing behavior. This article not only enriches the relevant research on the impact of corporate environmental protection investment, but also provides a theoretical basis for enterprises to further promote the development of artificial intelligence technology.",wos
gou f;liu ;xiao c;wu j,research on artificial-intelligence-assisted medicine: a survey on medical artificial intelligence,diagnostics,2024,artificial intelligence in medicine; assisted diagnosis; genomics; drug development; medical imaging; health care management,"With the improvement of economic conditions and the increase in living standards, people's attention in regard to health is also continuously increasing. They are beginning to place their hopes on machines, expecting artificial intelligence (AI) to provide a more humanized medical environment and personalized services, thus greatly expanding the supply and bridging the gap between resource supply and demand. With the development of IoT technology, the arrival of the 5G and 6G communication era, and the enhancement of computing capabilities in particular, the development and application of AI-assisted healthcare have been further promoted. Currently, research on and the application of artificial intelligence in the field of medical assistance are continuously deepening and expanding. AI holds immense economic value and has many potential applications in regard to medical institutions, patients, and healthcare professionals. It has the ability to enhance medical efficiency, reduce healthcare costs, improve the quality of healthcare services, and provide a more intelligent and humanized service experience for healthcare professionals and patients. This study elaborates on AI development history and development timelines in the medical field, types of AI technologies in healthcare informatics, the application of AI in the medical field, and opportunities and challenges of AI in the field of medicine. The combination of healthcare and artificial intelligence has a profound impact on human life, improving human health levels and quality of life and changing human lifestyles.",wos
pashentsev e,malicious use of artificial intelligence: challenging international psychological security,proceedings of the european conference on the impact of artificial intelligence and robotics (eciair 2019),2019,artificial intelligence; internet; international security; international psychological security; psychological warfare,"This paper analyses new threats to international psychological security (IPS) posed by the malicious use of artificial intelligence (MUAI) by aggressive state and non-state actors in international relations. Compared with the positive applications of artificial intelligence (AI), MUAI as related to security threats is a much less-studied area. The paper defines and establishes the IPS domain and provides possible MUAI classifications based on implementability, territorial coverage, degree of damage, and speed and forms of propagation. The author lays out current and prospective MUAI-based threats to IPS: the creation of 'deepfakes', the damage to reputation through bot activities, the setting and amplification of a manipulative agenda, the use of prognostic weapons, etc. Factors that complicate the minimisation of damage caused by state and non-state actors to IPS from MUAI are singled out. This study confirms that MUAI elevates threats to IPS to a qualitatively new level which requires an adequate assessment and reaction from society. There may be different classifications of MUAI threats (including the sphere of IPS). The comprehension of new threats-the number of which will only grow-lags behind the fast-changing realities of the modern world. With the goal of harming society, asocial actors can use AI systems that are rapidly spreading and becoming less expensive. MUAI is particularly dangerous in today's tense international environment when it is easier to manipulate the public consciousness experiencing the powerful impact of negative objective and subjective factors of social development. The methodology for this research is based on a systematic approach to the role of AI in psychological warfare. Comparative analysis and case studies are helpful to obtain findings which offer the basis for the efficiency criterion for MUAI and its neutralisation under unstable dynamic social equilibriums.",wos
stahl b;antoniou ;bhalla ;brooks ;jansen ;lindqvist ;kirichenko ;marchal ;rodrigues ;santiago ;warso ;wright d,a systematic review of artificial intelligence impact assessments,artificial intelligence review,2023,AI; Impact assessment; Systematic review; AI governance,"Artificial intelligence (AI) is producing highly beneficial impacts in many domains, from transport to healthcare, from energy distribution to marketing, but it also raises concerns about undesirable ethical and social consequences. AI impact assessments (AI-IAs) are a way of identifying positive and negative impacts early on to safeguard AI's benefits and avoid its downsides. This article describes the first systematic review of these AI-IAs. Working with a population of 181 documents, the authors identified 38 actual AI-IAs and subjected them to a rigorous qualitative analysis with regard to their purpose, scope, organisational context, expected issues, timeframe, process and methods, transparency and challenges. The review demonstrates some convergence between AI-IAs. It also shows that the field is not yet at the point of full agreement on content, structure and implementation. The article suggests that AI-IAs are best understood as means to stimulate reflection and discussion concerning the social and ethical consequences of AI ecosystems. Based on the analysis of existing AI-IAs, the authors describe a baseline process of implementing AI-IAs that can be implemented by AI developers and vendors and that can be used as a critical yardstick by regulators and external observers to evaluate organisations' approaches to AI.",wos
li d;zhang z;gao x,does artificial intelligence deter greenwashing?,finance research letters,2024,Artificial intelligence; Greenwashing; ESG performance; Corporate governance,"Employing 6,940 observations of 1,205 Chinese-listed firms from 2012 to 2022, we provide robust evidence that Artificial Intelligence (hereafter AI) inhibits greenwashing. We further find that AI achieves this effect by mitigating agency problems, easing financing constraints, and increasing external attention. In addition, the positive impact of AI in curbing greenwashing is more notable in politically unaffiliated firms, those with fewer female directors, or those with weaker equity incentives. Our findings highlight AI's crucial role in combating greenwashing and maintaining capital market order.",wos
li ;ma s;qu ;wang jm,the impact of artificial intelligence on firms' energy and resource efficiency: empirical evidence from china,resources policy,2023,Artificial intelligence; Energy efficiency; Total factor productivity; Scale effects; Structural effects; Efficiency effects,"As a strategic technology, artificial intelligence is leading a new round of technological revolution and industrial upgrading that plays an essential role in cultivating emerging industries. This paper employs robot application data compiled by the IFR (International Federation of Robotics) and Chinese firm-level data to empirically investigate the impact of artificial intelligence applications on the energy and resource efficiency of firms. From 2005 to 2014, the energy efficiency of industrial enterprises had an upward trend, and the level of artificial intelligence showed a significant increase in China. Based on our findings, artificial intelligence has a positive and significant impact on improving the energy and resource efficiency of Chinese firms. Controlling for endogeneity issues, the results are robust. Artificial intelligence affects the energy consumption of enterprises through scale, structural, and efficiency effects. Structural and efficiency effects are greater than the impact of scale effects. Therefore, artificial intelligence saves energy consumption and improves energy and resource efficiency. Regarding considerably increasing energy demands, the development of artificial intelligence offers a unique opportunity to improve the energy and resource efficiency of enterprises, thus adjusting the energy and economic structure of a country.",wos
zúñiga cp;martínez rc;santamaría dra,the impact of new technologies and artificial intelligence on employment in the legal sector,revista universidad y sociedad,2023,Artificial intelligence; new technologies; labor rights; social context,"The development of intelligence and new technologies is inextricably linked to our society and has become a vital tool in people's day-to-day lives. However, since all human activity is governed by law, there is an obvious overlap between artificial intelligence and legal sciences.Therefore, determining the impact of artificial intelligence and new technologies in the workplace was the overall objective of this research. To achieve this objective, descriptive research was conducted to examine the key areas in which artificial intelligence and the law relate to gain a better understanding of how they might be used in practice. In addition, a quantitative approach was used and special emphasis was placed on the respect of workers' rights in the Ecuadorian and Latin American states. In other words, a humanitarian analysis of the use of artificial intelligence in the workplace was carried out. As a result, it was determined that to prevent this vulnerability, technological advancement must go hand in hand with the advancement of workers' rights.Therefore, this study focused on a humanism approach that examines the relationship between two disciplines that is dynamic and constantly changing in social reality.The rationale behind this approach will be discussed below.",wos
abonamah a;tariq m;shilbayeh s,on the commoditization of artificial intelligence,frontiers in psychology,2021,artificial intelligence; AI commoditization; AI business value; AI strategy; AI operations,"As artificial intelligence's potential and pervasiveness continue to increase, its strategic importance, effects, and management must be closely examined. Societies, governments, and business organizations need to view artificial intelligence (AI) technologies and their usage from an entirely different perspective. AI is poised to have a tremendous impact on every aspect of our lives. Therefore, it must have a broader view that transcends AI's technical capabilities and perceived value, including areas of AI's impact and influence. Nicholas G. Carr's seminal paper IT Does not Matter (Carr, 2003) explained how IT's potential and ubiquity have increased, but IT's strategic importance has declined with time. AI is poised to meet the same fate as IT. In fact, the commoditization of AI has already begun. This paper presents the arguments to demonstrate that AI is moving rapidly in this direction. It also proposes an artificial intelligence-based organizational framework to gain value-added elements for lowering the impact of AI commoditization.",wos
della corte ;del gaudio ;sepe ;luongo ;crisci a,the adoption of artificial intelligence technologies in the era of grey tsunami: prospects and challenges,"2022 ieee international conference on metrology for extended reality, artificial intelligence and neural engineering (metroxraine)",2022,artificial intelligence; TAM; SEM,"The aim of this paper is to investigate the potentiality of the use of Artificial Intelligence (AI) robots in social groups and specifically the antecedents that impact on either senior citizens' willingness or objection to use Artificial Intelligence robots. In order to explore what are the antecedents of senior citizens' acceptance or rejection towards the use of AI robots in the context of senior living facilities, this paper proposes a revisited Technology Acceptance Model. The model is analyzed using SEM to test the hypotheses and to check the loading of each factor. The paper shows important theoretical implications as well as for the decision makers of elderly care and for the whole society.",wos
