"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Elmorsy G.N.; Al-Muoaeweed O.; Yahya H.T.A.; Zaher A.M.N.","Elmorsy, Ghada Nasr (57211457911); Al-Muoaeweed, Ohaud (59373340400); Yahya, Hind Tarish Al (59373038000); Zaher, Ashraf Mahrous Nour (58297432400)","57211457911; 59373340400; 59373038000; 58297432400","Investigating the Role of Artificial Intelligence in Developing Free Writing and Self-Authorship Skills for Female Kindergarten Teachers: ChatGPT as a Model","2024","Pakistan Journal of Life and Social Sciences","22","2","","7142","7149","7","0","10.57239/PJLSS-2024-22.2.00540","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206814781&doi=10.57239%2fPJLSS-2024-22.2.00540&partnerID=40&md5=e27b2fe566267f57ef775c15863de289","This study investigates the role of artificial intelligence in developing free writing and self-authorship skills among female kindergarten teachers, using ChatGPT as a generative AI model. Employing an experimental methodology, the research utilized a quasi-experimental design involving a single group and assessed differences through pre- and post-test measurements. The sample comprised 45 female kindergarten teachers from the second and third levels. A comprehensive training program was crafted, focusing on the effective utilization of ChatGPT to enhance specific skills in free writing and authorship. This program consisted of 15 interactive training sessions designed to foster engagement and collaboration among participants. The Free Writing and Self-Authorship Skills Test was administered to assess the teachers’ competencies both before and after the training. Statistical analysis, using the paired samples t-test, revealed significant differences favoring post-training scores. The results indicated marked improvements in the teachers’ abilities in areas such as planning for free writing, producing written content, and performing editing and revision tasks. The findings underscore the substantial impact of integrating ChatGPT into the professional development of female kindergarten teachers, enhancing their free writing and self-authorship capabilities. © (2024), (Elite Scientific Publications). All rights reserved.","Artificial Intelligence; Authorship; Educational Training; Free Writing; Writing Skills Development","","Article","Final","","Scopus","2-s2.0-85206814781"
"Rameshbhai K.M.; Prakash P.","Rameshbhai, Khant Mayank (59409840300); Prakash, Parth (59409789900)","59409840300; 59409789900","Generative AI and Consumer Behavior","2025","Minds Unveiled: Exploring the Effects of Generative AI on Business Behavior","","","","30","41","11","0","10.4324/9781032711089-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209013354&doi=10.4324%2f9781032711089-3&partnerID=40&md5=6714039250cd8fbb570e07aac2a946fc","There is a huge impact of generative artificial intelligence (AI) on consumer behavior realms. This study aims to address the recent innovation in generative AI and how it analyzes and enhances the whole customer experience for companies that use such technologies as an edge over their competitors. The role of personalized content creation to enhance customer experience, how market research and insights turn out beneficial for companies, where chatbots and virtual assistants help reduce human resources using generative AI in certain areas leveraging the predictive analysis. But whenever any technology is introduced, there is one issue that goes unwavering, and this concerns ethical consideration; as companies get data on consumer behaviors, and more specifically, their lifestyle that brings about a very critical situation for the company, whereby it becomes quite crucial how they use consumers' behavioral information within limits while ensuring privacy. © 2025 selection and editorial matter, Raul V. Rodriguez and Hemachandran K.","","","Book chapter","Final","","Scopus","2-s2.0-85209013354"
"Adam I.O.; Alhassan M.D.; Diack A.","Adam, Ibrahim Osman (57191165409); Alhassan, Muftawu Dzang (57213831349); Diack, Abdoulaye (58680491200)","57191165409; 57213831349; 58680491200","Exploring the Pedagogical Approaches for Generative AI Integration in Computing Education in Ghana: A Constructivist Perspective","2024","30th Americas Conference on Information Systems, AMCIS 2024","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213017289&partnerID=40&md5=59c2fd8bcdbb18b8dedcab5b09cf5fe5","Generative artificial intelligence has recently emerged as a crucial player in revolutionizing teaching and learning, especially in higher education institutions. Tools such as ChatGPT are now available to assist users in improving their academic writing and tackling complex prompts. Despite the immense potential of generative AI tools in transforming teaching and learning in higher education institutions, there is a lack of literature on specific pedagogical approaches that instructors can use to effectively integrate these tools in developing economies' higher education institutions. This study adopts a constructivist learning theory and an inductive qualitative research approach to address this knowledge gap. Our findings provide empirical evidence on how instructors in developing countries' higher education institutions can enhance their pedagogical approaches by integrating AI tools into their academic activities. © 2024 30th Americas Conference on Information Systems, AMCIS 2024. All rights reserved.","Computing education; Constructive learning theory; developing economy; Generative artificial intelligence; Higher education; Pedagogical approach","Adversarial machine learning; Collaborative learning; Federated learning; Generative adversarial networks; Computing education; Constructive learning; Constructive learning theory; Developing economies; Generative artificial intelligence; High educations; Higher education institutions; Learning Theory; Pedagogical approach; Teaching and learning; Contrastive Learning","Conference paper","Final","","Scopus","2-s2.0-85213017289"
"Ersöz B.; Saǧiroǧlu S.; Bülbül H.I.","Ersöz, Betül (57968326500); Saǧiroǧlu, Şeref (7003371572); Bülbül, Halil Ibrahim (15836807000)","57968326500; 7003371572; 15836807000","Generative Artificial Intelligence Opportunities and Threats: Bibliometric Analysis; [Üretken Yapay Zekâ Firsatlar ve Tehditler: Bibliyometrik Analiz]","2024","UBMK 2024 - Proceedings: 9th International Conference on Computer Science and Engineering","","","","337","342","5","0","10.1109/UBMK63289.2024.10773519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215527068&doi=10.1109%2fUBMK63289.2024.10773519&partnerID=40&md5=35d8474cb6e2cbf2946effbf9736a98c","This study conducts a bibliometric analysis on 4,262 works published under the title 'Generative Artificial Intelligence-GAI' between 2020 and 2024, sourced from Web of Science (WoS). The analysis covers keyword clouds, the most frequently used terms in article titles, types of publications, fields with the highest volume of publications. The research on GAI, a rapidly growing subfield of artificial intelligence (AI), is examined, the current state is critically analyzed, and recommendations are provided concerning the opportunities and threats in the responsible development of AI. © 2024 IEEE.","artificial intelligence in education; bibliometric analysis; GenAI; generative artificial intelligence","'current; Artificial intelligence in education; Bibliometrics analysis; GenAI; Generative artificial intelligence; High volumes; Subfields; Web of Science; Generative adversarial networks","Conference paper","Final","","Scopus","2-s2.0-85215527068"
"Reddy N.N.; Agarwal P.","Reddy, Niveditha N. (59527547200); Agarwal, Pooja (59527101100)","59527547200; 59527101100","Diagnosis and Classification of Skin Cancer Using Generative Artificial Intelligence (Gen AI)","2024","Generative Artificial Intelligence for Biomedical and Smart Health Informatics","","","","591","605","14","0","10.1002/9781394280735.ch28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216023322&doi=10.1002%2f9781394280735.ch28&partnerID=40&md5=6fe05999ae3a472e4455008638bc23a0","Skin cancer is the most common form around the world, and its impact has risen dramatically in the early decades. Soon and perfect discovery of cancer improves patient prognosis and allows for less invasive treatments. Artificial intelligence (AI) has led to the emergence of systems that help ascertain and classify dermal images, improving traditional clinical evaluation and proving valuable where skilled labor is scarce. Its implementation requires patient genetic and cultural diversity, as well as evaluating efficacy, safety, and ethical issues. Skin cancer diagnosis requires high accuracy for effective treatment. This paper investigates how generative AI can be used to improve diagnosis and classification. It can generate realistic, synthetic skin lesion images, particularly for rare forms, which can subsequently be utilized to supplement existing datasets for training classification classifiers. © 2025 by The Institute of Electrical and Electronics Engineers, Inc. All rights reserved.","artificial intelligence; generative artificial intelligence (GAI) and dermatological; meloma; skin cancer","","Book chapter","Final","","Scopus","2-s2.0-85216023322"
"Zhang N.; Li X.","Zhang, Nana (58817939700); Li, Xiuming (57219393342)","58817939700; 57219393342","ChatGPT Empowers Smart Education: Potential, Challenges and Prospects","2024","Communications in Computer and Information Science","1899","","","26","41","15","2","10.1007/978-981-99-9499-1_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182600417&doi=10.1007%2f978-981-99-9499-1_3&partnerID=40&md5=561dc83b8e0be6294a34c3075cccdbc7","ChatGPT was launched in November 2022 and has received widespread attention from the education community. How school education should be changed and upgraded in the age of artificial intelligence has become a major issue we are facing. The use of artificial intelligence technology has both advantages and disadvantages for education, and a dialectical view of the technological advantages ChatGPT gives to the information age will inevitably better facilitate schools to create smart classrooms, develop smart education, and realize the task of the times of digital transformation of education. To deeply explore the technical means to promote the development of smart education, this paper introduces the potential and challenges of ChatGPT empowering smart education, designs a framework for a practical model of ChatGPT empowering smart education, and analyses the prospective advantages of ChatGPT entering the education field, with a view to providing some reference for the future development of ChatGPT in the education sector and the comprehensive popularization of smart education. © 2024, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","artificial intelligence; ChatGPT; smart education","Engineering education; Artificial intelligence technologies; ChatGPT; Digital transformation; Education designs; Information age; Practical model; Prospectives; School education; Smart classroom; Smart education; Artificial intelligence","Conference paper","Final","","Scopus","2-s2.0-85182600417"
"Ran X.; Zeng Y.","Ran, Xiaoping (59481911200); Zeng, Yuyue (59481911300)","59481911200; 59481911300","Research on the scenario application of generative artificial intelligence in ideological and political education of colleges and universities","2024","ACM International Conference Proceeding Series","","","","454","459","5","0","10.1145/3696500.3696575","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212713239&doi=10.1145%2f3696500.3696575&partnerID=40&md5=85cf2c75fe91fe4e8baf4f4577f39a26","with the rapid development of generative artificial intelligence technology, its application in the field of education is increasingly extensive. The positions outside the first classroom, such as the university network space, the campus environment and the community activities, are loose but most active and most vital, schools should take the initiative to occupy and timely implantation of ideological and political elements (hereinafter referred to as extracurricular ideological and political education). The generative artificial intelligence, represented by CHATGPT, which is embedded in the extracurricular ideological and political education work as a scientific and technological tool, is the frontier and hot spot of the current network ideological and Political Education Research, it can make the educators understand the object of education more efficiently and systematically, enrich the existing educational resources and forms, and further strengthen the effect of extra-curricular ideological and political education. The purpose of this paper is to explore how generative artificial intelligence can enhance the effectiveness, attraction and participation of extracurricular ideological and political education in colleges and universities. © 2024 ACM.","Generative Artificial Intelligence; ideological and political education; scene application","Artificial intelligence technologies; Colleges and universities; Community activities; Generative artificial intelligence; Ideological and political educations; ITS applications; Network space; Scene application; Scientific tool; Technological tools; Generative adversarial networks","Conference paper","Final","","Scopus","2-s2.0-85212713239"
"Alhusban M.I.; Alshurafat H.; Khatatbeh I.N.","Alhusban, Mohammad Issa (57197760760); Alshurafat, Hashem (57214751576); Khatatbeh, Ibrahim N. (57219353009)","57197760760; 57214751576; 57219353009","Exploring professional perspectives on integrating generative artificial intelligence into corporate learning and development: an organizational change perspective","2024","Development and Learning in Organizations","","","","","","","1","10.1108/DLO-05-2024-0131","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200048869&doi=10.1108%2fDLO-05-2024-0131&partnerID=40&md5=609c02a52db685d7d1f57fd346645694","Purpose: The primary aim of this study is to investigate the integration of generative artificial intelligence, specifically ChatGPT, into workplace L&D practices, exploring the associated advantages and challenges such integration from an organizational change perspective. Design/methodology/approach: This study uses a qualitative approach, conducting semi-structured interviews with twelve learning and development (L&D) experts. Findings: This study indicates that ChatGPT can positively impact L&D by streamlining processes and potentially enhancing employee performance, engagement and satisfaction. However, to mitigate employee resistance, organizations must clearly communicate the necessity and rationale behind the change, involve employees in the implementation process and address trust issues. Key challenges such as overreliance on ChatGPT, AI skill shortages and technology issues like privacy breaches and misinformation must be managed through strong governance frameworks, including policies, guidelines and regular audits. Research limitations/implications: The study’s scope is confined to semi-structured interviews with L&D experts, potentially limiting its generalizability. Further research could explore the long-term effects and broader implications of ChatGPT integration in different organizational contexts. Practical implications: By framing GenAI integration within the context of organizational change, this study offers insights into managing the transition effectively by providing guidance for managers on effectively integrating ChatGPT into L&D practices, emphasizing the importance of mitigating potential negative consequences while maximizing benefits. Social implications: Integrating ChatGPT into organizational L&D has the potential to reshape how employees acquire new skills and knowledge, potentially influencing organizational culture and dynamics. However, careful consideration is required to ensure that the integration process aligns with ethical and social norms, minimizing adverse impacts. Originality/value: This research contributes foundational insights into the integration of ChatGPT in corporate L&D by researching and understanding the opinions of corporate professionals. It serves as a starting point for organizations to identify challenges in adopting GenAI. © 2024, Emerald Publishing Limited.","ChatGPT; Expert interviews; Generative artificial intelligence; Learning and development; Organizational change","","Article","Article in press","","Scopus","2-s2.0-85200048869"
"Wang X.; Xu X.; Zhang Y.; Hao S.; Jie W.","Wang, Xibing (58591366200); Xu, Xiaoshu (57204963765); Zhang, Yunfeng (57285601600); Hao, Shanshan (59093729700); Jie, Weng (59462907700)","58591366200; 57204963765; 57285601600; 59093729700; 59462907700","Exploring the impact of artificial intelligence application in personalized learning environments: thematic analysis of undergraduates’ perceptions in China","2024","Humanities and Social Sciences Communications","11","1","1644","","","","1","10.1057/s41599-024-04168-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211332311&doi=10.1057%2fs41599-024-04168-x&partnerID=40&md5=5adbc84216a2f3ed7790dcf924b036e5","The burgeoning integration of Artificial Intelligence (AI) technology within educational settings, particularly in personalized learning environments, has garnered significant interest. This paper delves into the perceptions and experiences of undergraduate students in Chinese universities concerning AI’s application in personalized learning. The study surveyed 48 undergraduates from a comprehensive Chinese university who had utilized generative AI, gathering their insights through semi-structured interviews. Thematic analysis was employed to organize and interpret the data. The findings underscore the positive impact of generative AI on students’ motivation and cognitive skills, alongside concerns regarding potential over-reliance leading to a decline in independent thinking. Student apprehensions include AI accuracy, data privacy, and algorithmic biases. The study advocates for a student-centric approach in AI research, stressing interdisciplinary collaboration to foster AI’s educational application. Additionally, it emphasizes the necessity of teacher training in AI integration to ensure effective pedagogical implementation. Ethical considerations and privacy safeguards in AI utilization are highlighted, signaling crucial areas for further inquiry and practical guidance. © The Author(s) 2024.","","","Article","Final","","Scopus","2-s2.0-85211332311"
"Singh D.K.; Kumar P.; Sharma M.; Arora P.","Singh, Deepak Kumar (57198857072); Kumar, Pradeep (59206618600); Sharma, Monu (59035760600); Arora, Pamil (58909347300)","57198857072; 59206618600; 59035760600; 58909347300","A Decade of AI and Animation Convergence: A Bibliometric Analysis of Contributions","2023","2023 1st DMIHER International Conference on Artificial Intelligence in Education and Industry 4.0, IDICAIEI 2023","","","","","","","1","10.1109/IDICAIEI58380.2023.10406710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186144520&doi=10.1109%2fIDICAIEI58380.2023.10406710&partnerID=40&md5=10b631bf0122389e69272411a7a98b88","In the past ten years, there has been significant growth and innovation at the intersection of artificial intelligence (AI) and animation. This convergence has resulted in transformative advancements with far-reaching interdisciplinary implications. To gain a comprehensive understanding of this rapidly evolving field, this essay presents a meticulous bibliometric analysis that explores the extensive body of research contributions, collaborations, and emerging trends. By employing rigorous bibliometric techniques, this study provides an encompassing overview of how research in artificial intelligence and animation has evolved over time. It reveals invaluable insights into the profound impact generated by their synergistic relationship. Moreover, it identifies key contributors as well as prominent institutions and countries involved in fostering interdisciplinary collaboration to facilitate convergence. Through a detailed examination of publication patterns, temporal dynamics within research topics are illuminated. This sheds light on emerging areas for further investigation while also providing a roadmap for future research endeavors. Such findings not only enhance our comprehension of the mutually beneficial association between AI and animation but also equip stakeholders with strategic insights necessary for resource allocation and decision-making within this swiftly changing landscape driven by AI-infused innovation. Ultimately, these analyses underscore the pivotal role played by contributions from researchers across various disciplines in shaping the ever-evolving realm where AI intersects with animation.  © 2023 IEEE.","A.I.; Animation; Artificial Intelligence; Computer Graphics; Virtual Reality","Artificial intelligence; Decision making; Virtual reality; AI; Bibliometric techniques; Bibliometrics analysis; Emerging trends; Interdisciplinary collaborations; IT Identify; Research topics; Resources allocation; Roadmap; Temporal dynamics; Animation","Conference paper","Final","","Scopus","2-s2.0-85186144520"
